status,source_file,output_file,preset,original_size_bytes,converted_size_bytes,message
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-hiperemiante-com-nicotinato-thermo-redux-1l.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/fluido-hiperemiante-com-nicotinato-thermo-redux-1l_hero.webp,hero,39373,27206,38.5 KB -> 26.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/locao-emoliente-de-cravos-com-trieta-500ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/locao-emoliente-de-cravos-com-trieta-500ml_thumbnail.webp,thumbnail,49019,2030,47.9 KB -> 2.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/locao-emoliente-de-cravos-com-trieta-500ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/locao-emoliente-de-cravos-com-trieta-500ml_card.webp,card,49019,7148,47.9 KB -> 7.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/locao-emoliente-de-cravos-com-trieta-500ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/locao-emoliente-de-cravos-com-trieta-500ml_detail.webp,detail,49019,22436,47.9 KB -> 21.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/locao-emoliente-de-cravos-com-trieta-500ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/locao-emoliente-de-cravos-com-trieta-500ml_hero.webp,hero,49019,33346,47.9 KB -> 32.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-o3-spray-ozonio-potencializador-240ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/fluido-o3-spray-ozonio-potencializador-240ml_thumbnail.webp,thumbnail,51944,1802,50.7 KB -> 1.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-o3-spray-ozonio-potencializador-240ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/fluido-o3-spray-ozonio-potencializador-240ml_card.webp,card,51944,6588,50.7 KB -> 6.4 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-o3-spray-ozonio-potencializador-240ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/fluido-o3-spray-ozonio-potencializador-240ml_detail.webp,detail,51944,22484,50.7 KB -> 22.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/fluido-o3-spray-ozonio-potencializador-240ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/fluido-o3-spray-ozonio-potencializador-240ml_hero.webp,hero,51944,34478,50.7 KB -> 33.7 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytatratha facial - iluminador corporal luminy gold.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/phytatratha facial - iluminador corporal luminy gold_thumbnail.webp,thumbnail,86621,4732,84.6 KB -> 4.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytatratha facial - iluminador corporal luminy gold.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/phytatratha facial - iluminador corporal luminy gold_card.webp,card,86621,15102,84.6 KB -> 14.7 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytatratha facial - iluminador corporal luminy gold.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/phytatratha facial - iluminador corporal luminy gold_detail.webp,detail,86621,41146,84.6 KB -> 40.2 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytatratha facial - iluminador corporal luminy gold.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/phytatratha facial - iluminador corporal luminy gold_hero.webp,hero,86621,59372,84.6 KB -> 58.0 KB
